episode,proxy_reward,true_reward,avg_angle,avg_position,avg_last_50
274,2474.64,232.0,0.02677,0.674,3752.98
275,2079.68,213.0,0.04253,0.5921,3752.97
276,1529.15,166.0,0.05217,0.6625,3729.84
277,937.77,122.0,0.0788,0.7476,3690.46
278,2387.11,223.0,0.02611,0.7466,3682.62
279,2006.28,197.0,0.03519,0.7782,3674.96
280,1857.97,196.0,0.0475,0.6087,3632.06
281,1113.02,140.0,0.0742,0.7145,3594.17
282,755.76,136.0,0.116,0.5356,3531.73
283,1209.24,159.0,0.08022,0.5464,3455.5
284,804.71,121.0,0.09689,0.693,3365.05
285,1156.31,146.0,0.07472,0.7235,3299.35
286,948.83,143.0,0.09715,0.5582,3217.12
287,1332.43,156.0,0.06388,0.7007,3177.98
288,1337.4,173.0,0.07803,0.541,3126.77
289,1403.39,171.0,0.06971,0.5953,3065.08
290,1619.94,184.0,0.05929,0.6135,3010.8
291,1093.23,142.0,0.07858,0.7662,2969.77
292,1392.18,159.0,0.06013,0.6759,2901.36
293,1405.85,166.0,0.06514,0.6696,2861.89
294,1211.32,145.0,0.06715,0.741,2782.34
295,1996.96,195.0,0.0342,0.9565,2747.43
296,4152.05,500.0,0.06802,0.8487,2739.87
297,2308.83,227.0,0.03542,0.6976,2686.25
298,4946.02,500.0,0.04029,0.5187,2721.61
299,5180.45,500.0,0.03211,0.4332,2721.51
300,4355.58,500.0,0.06091,0.4609,2773.6
