episode,proxy_reward,true_reward,avg_angle,avg_last_50
475,28.85,12.0,0.09361,43.14
476,39.14,21.0,0.0576,43.23
477,29.91,13.0,0.08669,42.66
478,28.87,13.0,0.08138,42.59
479,38.55,16.0,0.09395,42.6
480,38.02,14.0,0.11438,42.53
481,44.76,16.0,0.11982,42.57
482,30.59,12.0,0.10325,42.58
483,76.68,32.0,0.09307,42.25
484,50.58,21.0,0.0939,42.25
485,125.97,67.0,0.05868,44.12
486,63.3,32.0,0.0652,44.92
487,47.23,27.0,0.04994,45.36
488,62.48,28.0,0.0821,46.0
489,42.38,16.0,0.10992,46.1
490,47.19,17.0,0.11839,46.54
491,54.3,20.0,0.11434,47.0
492,36.86,19.0,0.06268,46.61
493,137.31,53.0,0.10605,48.6
494,52.77,20.0,0.10922,48.93
495,30.66,12.0,0.10366,48.98
496,37.7,15.0,0.10089,48.8
497,43.12,18.0,0.09303,48.87
498,29.65,12.0,0.09803,48.62
499,71.4,42.0,0.04667,48.56
500,38.32,15.0,0.10364,48.73
