episode,proxy_reward,true_reward,avg_velocity,avg_last_50
433,1113.98,500.0,0.614,803.75
434,862.05,329.0,0.8101,815.27
435,995.82,500.0,0.4958,829.18
436,1165.81,500.0,0.6658,831.33
437,1194.16,500.0,0.6942,842.95
438,1005.04,500.0,0.505,850.69
439,911.78,500.0,0.4118,847.82
440,1226.14,500.0,0.7261,860.0
441,408.7,161.0,0.7693,860.83
442,1032.04,500.0,0.532,865.08
443,430.6,157.0,0.8713,857.81
444,410.13,137.0,0.9968,842.83
445,416.96,170.0,0.7264,839.46
446,381.64,127.0,1.0025,831.73
447,413.69,165.0,0.7536,813.99
448,402.95,141.0,0.9289,808.9
449,384.46,139.0,0.8829,789.61
450,404.74,133.0,1.0216,776.72
451,356.4,105.0,1.1971,762.24
452,402.59,154.0,0.8071,763.26
453,383.2,128.0,0.9969,756.18
454,353.29,103.0,1.215,745.28
455,373.32,110.0,1.1969,738.55
456,402.26,129.0,1.0591,738.57
457,440.62,157.0,0.9032,738.78
458,389.44,132.0,0.9752,738.56
459,379.1,128.0,0.9808,738.03
460,371.34,111.0,1.1727,729.23
461,376.0,110.0,1.2091,721.77
462,370.69,116.0,1.0978,706.78
463,377.58,120.0,1.0732,692.16
464,388.38,110.0,1.2654,683.44
465,357.02,102.0,1.2501,674.79
466,177.27,77.0,0.6511,670.69
467,77.21,44.0,0.3774,650.6
468,125.63,61.0,0.5298,635.9
469,161.67,70.0,0.6548,616.94
470,373.88,113.0,1.1543,608.84
471,386.45,118.0,1.1375,600.93
472,388.63,124.0,1.0671,592.29
473,141.69,69.0,0.5267,586.86
474,391.9,118.0,1.1606,579.68
475,49.05,33.0,0.2432,562.81
476,367.17,109.0,1.1843,551.92
477,367.26,111.0,1.1543,538.1
478,364.27,113.0,1.1118,526.41
479,374.79,114.0,1.1438,512.05
480,107.5,62.0,0.3669,500.04
481,363.75,106.0,1.2158,485.07
482,370.95,116.0,1.0989,469.42
483,385.72,125.0,1.0429,454.85
484,367.67,108.0,1.2022,444.97
485,387.34,117.0,1.1553,432.8
486,63.48,39.0,0.3138,410.75
487,348.17,96.0,1.3134,393.83
488,366.45,111.0,1.1507,381.06
489,368.96,109.0,1.1925,370.2
490,387.99,128.0,1.0156,353.44
491,363.63,110.0,1.1529,352.54
492,396.99,131.0,1.0152,339.84
493,387.0,118.0,1.1398,338.97
494,370.74,111.0,1.17,338.18
495,370.84,112.0,1.1556,337.26
496,375.54,112.0,1.1765,337.13
497,399.21,122.0,1.1361,336.84
498,271.37,88.0,1.0419,334.21
499,354.47,108.0,1.141,333.61
500,364.0,107.0,1.2009,332.8
